centres_service_centre_id,centres_service_nom_centre,centres_service_type_centre,centres_service_region,centres_service_prefecture,centres_service_commune,centres_service_quartier,centres_service_latitude,centres_service_longitude,centres_service_personnel_capacite_jour,centres_service_nombre_guichets,centres_service_heures_ouverture,centres_service_horaire_nuit,centres_service_equipement_numerique,centres_service_date_ouverture,centres_service_statut_centre
CT001,Centre Principal Dapaong,Principal,Savanes,Tône,Dapaong,Administratif,"10,592","0,4742",300,12,07:30-17:30,Non,Complet,dimanche 14 février 2016,Actif
CT002,Centre Kévé,Secondaire,Maritime,Ave,Kévé,Zone industrielle,"6,2815","1,2182",63,2,08:00-16:00,Non,Limite,lundi 14 septembre 2020,Actif
CT003,Centre Gando,Secondaire,Savanes,Oti-Sud,Gando,Zone industrielle,"10,2629","0,2525",98,2,08:00-16:00,Non,Partiel,mardi 2 juin 2015,Actif
CT004,Centre Pagouda,Secondaire,Kara,Binah,Pagouda,Gare routière,"9,4247","1,1698",78,6,08:00-16:00,Non,Partiel,mardi 3 décembre 2019,Actif
CT005,Centre Tchamba,Secondaire,Centrale,Tchamba,Tchamba,Carrefour,"8,5008","0,9988",62,3,08:00-16:00,Non,Limite,jeudi 20 octobre 2022,Actif
CT006,Centre Principal Tsévié,Principal,Maritime,Zio,Tsévié,Marché,"6,4705","1,4344",338,8,07:30-17:30,Non,Complet,dimanche 28 août 2022,Actif
CT007,Centre Bassar,Secondaire,Kara,Bassar,Bassar,Poste,"9,42","1,0817",59,6,08:00-16:00,Non,Partiel,mardi 11 février 2020,Actif
CT008,Centre Principal Kpalimé,Principal,Plateaux,Kloto,Kpalimé,Préfecture,"7,6305","0,9746",355,11,07:30-17:30,Non,Complet,mercredi 12 juillet 2017,Actif
CT009,Centre Tchamba,Secondaire,Centrale,Tchamba,Tchamba,Résidentiel,"8,791","1,0719",61,2,08:00-16:00,Non,Limite,mercredi 11 mai 2022,Actif
CT010,Centre Principal Kara,Principal,Kara,Kozah,Kara,Préfecture,"9,324","0,7628",274,13,07:30-17:30,Non,Complet,vendredi 24 novembre 2023,Actif
CT011,Centre Pagouda,Secondaire,Kara,Binah,Pagouda,Préfecture,"9,4996","0,9323",82,6,08:00-16:00,Non,Partiel,jeudi 30 novembre 2017,Actif
CT012,Centre Sotouboua,Secondaire,Centrale,Sotouboua,Sotouboua,Résidentiel,"8,2161","1,3118",54,5,08:00-16:00,Non,Partiel,vendredi 15 juillet 2022,Actif
CT013,Centre Tchamba,Secondaire,Centrale,Tchamba,Tchamba,Centre ville,"8,722","0,9914",114,2,08:00-16:00,Non,Limite,mercredi 19 octobre 2016,Actif
CT014,Centre Tohoun,Secondaire,Plateaux,Moyen-Mono,Tohoun,Administratif,"6,9574","0,6103",63,2,08:00-16:00,Non,Partiel,samedi 10 janvier 2015,Actif
CT015,Centre Danyi-Apéyémé,Secondaire,Plateaux,Danyi,Danyi-Apéyémé,Carrefour,"7,5719","0,8589",74,2,08:00-16:00,Non,Partiel,mercredi 14 juin 2017,Actif
CT016,Centre Lomé,Secondaire,Maritime,Golfe,Lomé,Administratif,"6,2788","1,3586",106,2,08:00-16:00,Non,Partiel,samedi 8 juillet 2023,Actif
CT017,Centre Tandjouaré,Secondaire,Savanes,Tandjouaré,Tandjouaré,Administratif,"10,5077","0,7187",114,3,08:00-16:00,Non,Limite,samedi 10 juin 2023,Actif
CT018,Centre Bafilo,Secondaire,Kara,Assoli,Bafilo,Centre ville,"9,3919","1,366",37,3,08:00-16:00,Non,Limite,samedi 25 juillet 2015,Actif
CT019,Centre Aného,Secondaire,Maritime,Lacs,Aného,Carrefour,"6,5515","1,5809",101,6,08:00-16:00,Non,Partiel,dimanche 9 juillet 2023,Actif
